,totalLatency
8,0.6060656085352472
9,-0.3544652268598353
10,0.6102845457038213
11,0.6482301909299222
12,0.6036054060882123
13,0.6328354649656045
14,0.6460317320988795
15,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,-0.3544652268598353
10,0.6102845457038213
11,0.6482301909299222
12,0.6036054060882123
13,0.6328354649656045
14,0.6460317320988795
15,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6483048562426579
3,0.6482301909299222
4,0.6060656085352472
5,-0.3544652268598353
6,0.6102845457038213
7,0.6482301909299222
8,0.6060656085352472
9,-0.3544652268598353
10,0.6483048562426579
11,0.6482301909299222
12,0.6060656085352472
13,-0.3544652268598353
14,0.6483048562426579
15,0.6482301909299222
16,0.6036054060882123
17,0.6328354649656045
18,0.6460317320988795
19,0.6076077162930139
20,0.6036054060882123
21,0.6328354649656045
22,0.6076823816057496
23,0.6076077162930139
24,0.6036054060882123
25,0.6328354649656045
26,0.6076823816057496
27,0.6076077162930139
28,0.6036054060882123
29,-0.39508770149674355
30,0.6460317320988795
31,0.6076077162930139
32,0.6036054060882123
33,-0.39508770149674355
34,0.6460317320988795
35,0.6076077162930139
36,0.6036054060882123
37,-0.39508770149674355
38,0.6076823816057496
39,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6483048562426579
11,0.6482301909299222
12,0.6060656085352472
13,-0.3544652268598353
14,0.6102845457038213
15,0.6482301909299222
16,0.6060656085352472
17,-0.3544652268598353
18,0.6102845457038213
19,0.6482301909299222
20,0.6060656085352472
21,-0.3544652268598353
22,0.6483048562426579
23,0.6482301909299222
24,0.6036054060882123
25,0.6328354649656045
26,0.6460317320988795
27,0.6076077162930139
28,0.6036054060882123
29,0.6328354649656045
30,0.6460317320988795
31,0.6076077162930139
32,0.6036054060882123
33,0.6328354649656045
34,0.6076823816057496
35,0.6076077162930139
36,0.6036054060882123
37,-0.39508770149674355
38,0.6460317320988795
39,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,-0.3544652268598353
10,0.6102845457038213
11,0.6482301909299222
12,0.6036054060882123
13,0.6328354649656045
14,0.6460317320988795
15,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6483048562426579
11,0.6482301909299222
12,0.6060656085352472
13,-0.3544652268598353
14,0.6102845457038213
15,0.6482301909299222
16,0.6060656085352472
17,-0.3544652268598353
18,0.6102845457038213
19,0.6482301909299222
20,0.6060656085352472
21,-0.3544652268598353
22,0.6483048562426579
23,0.6482301909299222
24,0.6036054060882123
25,0.6328354649656045
26,0.6460317320988795
27,0.6076077162930139
28,0.6036054060882123
29,0.6328354649656045
30,0.6460317320988795
31,0.6076077162930139
32,0.6036054060882123
33,0.6328354649656045
34,0.6076823816057496
35,0.6076077162930139
36,0.6036054060882123
37,-0.39508770149674355
38,0.6460317320988795
39,0.6076077162930139
,totalLatency
0,0.6036054060882123
1,0.6319736386850088
2,0.6076823816057496
3,0.6076077162930139
4,0.6036054060882123
5,-0.39508770149674355
6,0.6480197379757889
7,0.6076077162930139
8,0.6036054060882123
9,-0.39508770149674355
10,0.6076823816057496
11,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.6340355000686981
2,0.6483048562426579
3,0.6482301909299222
4,0.6060656085352472
5,-0.3544652268598353
6,0.6500815993594783
7,0.6482301909299222
8,0.6060656085352472
9,-0.3544652268598353
10,0.6483048562426579
11,0.6482301909299222
12,0.6036054060882123
13,0.6319736386850088
14,0.6460317320988795
15,0.6076077162930139
16,0.6036054060882123
17,0.6319736386850088
18,0.6076823816057496
19,0.6076077162930139
20,0.6036054060882123
21,0.6328354649656045
22,0.6480197379757889
23,0.6076077162930139
24,0.6036054060882123
25,0.6328354649656045
26,0.6076823816057496
27,0.6076077162930139
28,0.6036054060882123
29,-0.39508770149674355
30,0.6480197379757889
31,0.6076077162930139
32,0.6036054060882123
33,-0.39508770149674355
34,0.6460317320988795
35,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.6340355000686981
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.6340355000686981
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6500815993594783
11,0.6482301909299222
12,0.6060656085352472
13,0.5970882785705462
14,0.6483048562426579
15,0.6482301909299222
16,0.6060656085352472
17,-0.3544652268598353
18,0.6500815993594783
19,0.6482301909299222
20,0.6060656085352472
21,-0.3544652268598353
22,0.6102845457038213
23,0.6482301909299222
24,0.6036054060882123
25,0.6319736386850088
26,0.6460317320988795
27,0.6076077162930139
28,0.6036054060882123
29,0.6328354649656045
30,0.6480197379757889
31,0.6076077162930139
32,0.6036054060882123
33,0.6328354649656045
34,0.6460317320988795
35,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.6340355000686981
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6500815993594783
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6102845457038213
11,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,-0.3544652268598353
10,0.6102845457038213
11,0.6482301909299222
12,0.6036054060882123
13,0.6328354649656045
14,0.6460317320988795
15,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.5970882785705462
2,0.6102845457038213
3,0.6482301909299222
,totalLatency
0,0.6060656085352472
1,0.6340355000686981
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.6340355000686981
6,0.6483048562426579
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6500815993594783
11,0.6482301909299222
12,0.6060656085352472
13,0.5970882785705462
14,0.6483048562426579
15,0.6482301909299222
16,0.6060656085352472
17,-0.3544652268598353
18,0.6500815993594783
19,0.6482301909299222
20,0.6060656085352472
21,-0.3544652268598353
22,0.6102845457038213
23,0.6482301909299222
24,0.6036054060882123
25,0.6319736386850088
26,0.6460317320988795
27,0.6076077162930139
28,0.6036054060882123
29,0.6328354649656045
30,0.6480197379757889
31,0.6076077162930139
32,0.6036054060882123
33,0.6328354649656045
34,0.6460317320988795
35,0.6076077162930139
,totalLatency
0,0.6060656085352472
1,0.6340355000686981
2,0.6102845457038213
3,0.6482301909299222
4,0.6060656085352472
5,0.5970882785705462
6,0.6500815993594783
7,0.6482301909299222
8,0.6060656085352472
9,0.5970882785705462
10,0.6102845457038213
11,0.6482301909299222
